Datetime,Category,Tier,Recipe,Type,Production ID,Name,Rank,Talent
2024-06-01 13:51:21,GUN,NORMAL,130/130/130/30,HG,379,P10C,★★★★,
2024-06-01 13:51:21,GUN,NORMAL,130/130/130/30,HG,2,M1911,★★,
2024-06-01 13:52:01,EQUIP,NORMAL,70/10/150/30,XEXO,55,IOP X1 Exoskeleton,★★,
2024-06-01 14:23:44,EQUIP,HEAVY-1,500/500/500/500,FAIRY,6,Taunt Fairy,★,Assault
2024-06-01 14:23:44,EQUIP,HEAVY-1,500/500/500/500,FAIRY,16,Rescue Fairy,★,Critical I
2024-06-01 14:23:44,EQUIP,HEAVY-1,500/500/500/500,FAIRY,15,Command Fairy,★,Armor I
2024-06-01 17:34:23,EQUIP,HEAVY-1,500/500/500/500,FAIRY,3,Armor Fairy,★,Evasion I
2024-06-02 17:49:56,EQUIP,HEAVY-1,500/500/500/500,FAIRY,3,Armor Fairy,★,Charge
2024-06-02 17:49:56,EQUIP,HEAVY-1,500/500/500/500,FAIRY,25,Twin Fairies,★,Keen
2024-06-02 17:49:56,EQUIP,HEAVY-1,500/500/500/500,FAIRY,7,Sniper Fairy,★,Aim
2024-06-02 21:03:13,EQUIP,HEAVY-1,500/500/500/500,FAIRY,16,Rescue Fairy,★,Critical I
2024-06-02 23:10:48,EQUIP,HEAVY-1,500/500/500/500,FAIRY,17,Illumination Fairy,★,Accuracy I
2024-06-02 23:10:50,EQUIP,HEAVY-1,500/500/500/500,FAIRY,24,Barrier Fairy,★,Keen
2024-06-02 23:20:54,EQUIP,NORMAL,70/10/150/30,NIGHTEQUIP,13,PEQ-2,★★,
2024-06-02 23:20:56,EQUIP,NORMAL,70/10/150/30,NIGHTEQUIP,14,PEQ-5,★★★,
2024-06-02 23:20:57,EQUIP,NORMAL,70/10/150/30,NIGHTEQUIP,13,PEQ-2,★★,
2024-06-03 01:02:59,GUN,NORMAL,400/400/100/200,AR,356,A-545,★★★★★,
2024-06-03 01:02:59,GUN,NORMAL,400/400/100/200,SMG,92,Spectre M4,★★,
2024-06-03 01:02:59,GUN,NORMAL,400/400/100/200,SMG,32,Micro Uzi,★★★,
2024-06-03 01:03:16,GUN,NORMAL,400/400/100/200,SMG,93,IDW,★★,
